Temperature_C,Humidity_percent,Rain,LDR_percent,Moisture_percent,Label
29.4,68.0,24,73,58,High
25.5,73.4,19,57,38,High
37.0,64.5,54,53,37,Medium
32.6,52.0,87,12,83,Low
30.0,79.8,73,41,37,Medium
21.1,72.7,81,44,39,Low
21.1,43.9,66,46,73,Medium
19.2,85.1,69,62,51,Medium
35.3,80.2,85,58,74,Low
30.0,87.2,25,65,25,Medium
32.2,74.9,49,79,54,High
18.4,68.7,22,83,22,Medium
37.4,58.0,99,75,24,Low
34.6,86.3,94,96,83,Low
22.2,82.6,4,12,30,Low
21.6,37.5,71,28,57,Low
21.7,36.5,93,11,49,Low
24.1,55.7,18,68,44,High
28.5,79.6,57,91,83,Low
26.6,89.3,92,32,22,Low
23.8,43.3,3,93,66,Medium
30.2,67.7,70,15,87,Low
20.8,55.9,30,94,59,Medium
23.8,88.3,92,42,86,Low
25.3,81.3,97,19,24,Low
27.1,81.1,94,54,49,Medium
33.7,60.8,47,33,38,Medium
22.0,57.8,86,36,71,Medium
28.3,50.0,84,38,89,Medium
29.8,38.1,32,82,38,Medium
18.9,82.6,83,59,66,Medium
30.2,79.7,4,38,34,Medium
21.4,90.0,60,65,60,Medium
19.3,89.8,23,74,52,Medium
37.0,65.5,12,35,88,Medium
37.3,77.3,8,47,63,Medium
34.2,87.0,70,21,44,Low
24.1,81.7,34,26,28,Low
20.0,48.6,72,71,31,Medium
31.7,59.8,7,26,36,Medium
26.8,42.1,32,57,38,High
20.4,87.5,54,74,80,Medium
27.9,68.3,79,20,59,Medium
18.7,47.6,32,61,57,High
36.2,71.9,63,33,28,Low
23.2,69.0,89,97,80,Medium
31.3,54.7,62,54,71,Medium
24.2,41.2,23,83,25,Medium
28.4,71.9,2,60,70,High
28.9,63.6,87,14,58,Medium
21.7,77.5,2,67,26,Medium
37.4,63.6,87,96,52,Low
33.5,81.9,53,64,54,Medium
36.8,65.4,94,84,32,Low
35.9,65.9,80,90,86,Low
30.0,83.2,100,31,79,Low
36.4,57.2,35,29,67,Medium
19.8,42.4,77,65,52,Medium
21.9,36.6,40,47,49,Medium
18.9,76.5,48,86,66,Medium
24.5,69.1,63,91,58,Medium
25.8,73.7,87,42,24,Low
23.4,46.7,98,31,56,Medium
34.6,42.5,77,80,76,Low
25.1,35.8,42,35,52,Medium
23.6,54.3,42,84,24,Medium
28.9,67.4,74,48,75,Medium
20.8,56.6,24,70,34,High
34.0,59.1,11,19,38,Medium
19.5,84.7,35,66,32,Medium
37.7,54.2,29,51,43,Medium
33.4,63.3,30,63,73,High
22.0,78.1,23,25,56,Medium
18.1,56.8,4,76,34,Medium
34.3,69.2,2,88,81,Low
32.1,82.4,99,30,82,Low
